time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-09 00:00:00+00:00,2.0,2.0,4.0,1.0
2023-12-10 00:00:00+00:00,1.0,1.0,,
2023-12-11 00:00:00+00:00,2.0,2.0,1.0,1.0
2023-12-12 00:00:00+00:00,1.0,1.0,31.0,6.0
2023-12-13 00:00:00+00:00,3.0,3.0,24.0,8.0
2023-12-14 00:00:00+00:00,1.0,1.0,5.0,5.0
2023-12-15 00:00:00+00:00,1.0,1.0,7.0,4.0
2023-12-16 00:00:00+00:00,1.0,1.0,,
2023-12-17 00:00:00+00:00,1.0,1.0,,
2023-12-18 00:00:00+00:00,2.0,2.0,9.0,3.0
2023-12-19 00:00:00+00:00,1.0,1.0,7.0,2.0
2023-12-20 00:00:00+00:00,3.0,2.0,4.0,2.0
2023-12-21 00:00:00+00:00,7.0,4.0,50.0,7.0
2023-12-22 00:00:00+00:00,,,8.0,2.0
