time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-15 00:00:00+00:00,3,2,,
2024-04-16 00:00:00+00:00,3,2,30.0,5.0
2024-04-17 00:00:00+00:00,15,3,41.0,6.0
2024-04-18 00:00:00+00:00,6,3,67.0,6.0
2024-04-19 00:00:00+00:00,9,3,64.0,2.0
2024-04-20 00:00:00+00:00,1,1,,
2024-04-21 00:00:00+00:00,4,2,1.0,1.0
2024-04-22 00:00:00+00:00,21,5,100.0,3.0
2024-04-23 00:00:00+00:00,19,4,161.0,5.0
2024-04-24 00:00:00+00:00,5,2,43.0,3.0
2024-04-25 00:00:00+00:00,44,6,241.0,6.0
2024-04-26 00:00:00+00:00,9,2,92.0,4.0
2024-04-27 00:00:00+00:00,5,2,3.0,2.0
2024-04-28 00:00:00+00:00,1,1,,
