time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,41,12,3,2
2026-06-21 00:00:00+00:00,41,12,1,1
2026-06-22 00:00:00+00:00,48,14,7,5
2026-06-23 00:00:00+00:00,35,11,8,4
2026-06-24 00:00:00+00:00,38,11,6,3
2026-06-25 00:00:00+00:00,42,14,8,6
2026-06-26 00:00:00+00:00,42,15,5,3
2026-06-27 00:00:00+00:00,12,7,0,0
2026-06-28 00:00:00+00:00,4,4,0,0
2026-06-29 00:00:00+00:00,25,9,3,2
2026-06-30 00:00:00+00:00,18,9,5,2
2026-07-01 00:00:00+00:00,9,5,0,0
2026-07-02 00:00:00+00:00,3,3,11,5
2026-07-03 00:00:00+00:00,39,14,10,3
