time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-03 00:00:00+00:00,16,6,12.0,3.0
2025-03-04 00:00:00+00:00,5,4,17.0,3.0
2025-03-05 00:00:00+00:00,6,3,15.0,7.0
2025-03-06 00:00:00+00:00,1,1,47.0,13.0
2025-03-07 00:00:00+00:00,3,2,15.0,8.0
2025-03-08 00:00:00+00:00,7,4,3.0,2.0
2025-03-09 00:00:00+00:00,5,3,,
2025-03-10 00:00:00+00:00,6,3,5.0,3.0
2025-03-11 00:00:00+00:00,5,3,12.0,9.0
2025-03-12 00:00:00+00:00,1,1,6.0,4.0
2025-03-13 00:00:00+00:00,3,2,4.0,3.0
2025-03-14 00:00:00+00:00,5,2,4.0,3.0
2025-03-15 00:00:00+00:00,3,2,,
