time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-08 00:00:00+00:00,2,2,15.0,5.0
2025-07-09 00:00:00+00:00,11,7,32.0,4.0
2025-07-10 00:00:00+00:00,7,7,24.0,3.0
2025-07-11 00:00:00+00:00,16,7,17.0,5.0
2025-07-12 00:00:00+00:00,11,10,,
2025-07-13 00:00:00+00:00,6,6,,
2025-07-14 00:00:00+00:00,15,6,37.0,3.0
2025-07-15 00:00:00+00:00,16,7,71.0,7.0
2025-07-16 00:00:00+00:00,6,6,4.0,3.0
2025-07-17 00:00:00+00:00,1,1,10.0,2.0
2025-07-18 00:00:00+00:00,4,4,4.0,2.0
2025-07-19 00:00:00+00:00,5,5,1.0,1.0
2025-07-20 00:00:00+00:00,5,5,,
2025-07-21 00:00:00+00:00,4,3,44.0,5.0
