time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-07 00:00:00+00:00,34,3,112.0,8.0
2023-11-08 00:00:00+00:00,15,2,63.0,9.0
2023-11-09 00:00:00+00:00,22,3,97.0,7.0
2023-11-10 00:00:00+00:00,40,5,285.0,32.0
2023-11-11 00:00:00+00:00,1,1,9.0,6.0
2023-11-12 00:00:00+00:00,2,2,2.0,2.0
2023-11-13 00:00:00+00:00,2,2,26.0,4.0
2023-11-14 00:00:00+00:00,1,1,106.0,21.0
2023-11-15 00:00:00+00:00,11,2,107.0,18.0
2023-11-16 00:00:00+00:00,1,1,42.0,12.0
2023-11-17 00:00:00+00:00,1,1,25.0,12.0
2023-11-18 00:00:00+00:00,1,1,,
2023-11-19 00:00:00+00:00,1,1,,
2023-11-20 00:00:00+00:00,17,3,119.0,8.0
