time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-18 00:00:00+00:00,7,6,16.0,6.0
2025-09-19 00:00:00+00:00,11,4,7.0,3.0
2025-09-20 00:00:00+00:00,8,6,1.0,1.0
2025-09-21 00:00:00+00:00,11,8,4.0,1.0
2025-09-22 00:00:00+00:00,2,2,8.0,5.0
2025-09-23 00:00:00+00:00,7,4,2.0,1.0
2025-09-24 00:00:00+00:00,8,1,5.0,5.0
2025-09-25 00:00:00+00:00,7,6,5.0,3.0
2025-09-26 00:00:00+00:00,5,2,8.0,5.0
2025-09-27 00:00:00+00:00,3,2,2.0,2.0
2025-09-28 00:00:00+00:00,3,2,1.0,1.0
2025-09-29 00:00:00+00:00,4,3,13.0,5.0
2025-09-30 00:00:00+00:00,7,4,,
2025-10-01 00:00:00+00:00,5,2,5.0,4.0
