time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-16 00:00:00+00:00,47,10,10,4
2026-01-17 00:00:00+00:00,27,12,3,2
2026-01-18 00:00:00+00:00,11,7,0,0
2026-01-19 00:00:00+00:00,7,3,7,3
2026-01-20 00:00:00+00:00,18,10,9,4
2026-01-21 00:00:00+00:00,9,7,15,4
2026-01-22 00:00:00+00:00,7,3,3,3
2026-01-23 00:00:00+00:00,14,8,8,4
2026-01-24 00:00:00+00:00,3,3,0,0
2026-01-25 00:00:00+00:00,2,2,1,1
2026-01-26 00:00:00+00:00,15,7,11,6
2026-01-27 00:00:00+00:00,18,6,8,2
2026-01-28 00:00:00+00:00,22,11,44,6
2026-01-29 00:00:00+00:00,13,8,5,4
